x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
17,8,-0.017831,8.72E-05,1.38574,2.48943
18,8,-0.0236,7.44E-05,1.41715,2.54676
19,8,-0.0284143,4.58E-05,1.43919,2.60042
20,8,-0.0310221,2.89E-05,1.4485,2.62665
21,8,-0.0299263,1.15E-05,1.49397,2.71433
22,8,-0.0364811,1.40E-06,1.58086,2.88992
0,9,-0.0521381,5.20E-06,1.43733,2.6212
1,9,-0.0496571,2.43E-05,1.47479,2.70837
2,9,-0.0311702,6.45E-05,1.51326,2.78343
3,9,-0.023143,0.000126971,1.49661,2.7536
4,9,0.0102422,0.00018143,1.4245,2.62013
5,9,0.022295,0.000223662,1.35685,2.48954
6,9,0.0642722,0.00019396,1.27834,2.31334
7,9,0.0892741,0.000165487,1.17665,2.08301
8,9,0.0957592,0.000107857,1.14132,1.99853
9,9,0.0651701,3.01E-05,1.15049,2.00682
10,9,0.0567436,8.25E-06,1.15781,2.01744
11,9,0.0466205,4.59E-05,1.13909,1.98348
12,9,0.0549252,0.000111765,1.09723,1.89987
13,9,0.0359061,0.000176519,1.09877,1.90872
14,9,0.0237184,0.000252492,1.12593,1.96094
15,9,0.00403029,0.000240483,1.22949,2.15121
16,9,-0.013937,0.000186931,1.26881,2.24222
17,9,-0.0193587,0.000154137,1.30488,2.32538
18,9,-0.0308393,0.000124772,1.33282,2.38309
19,9,-0.0303288,8.92E-05,1.32968,2.37873
20,9,-0.0305202,5.31E-05,1.34845,2.41672
21,9,-0.0392275,2.34E-05,1.40807,2.5373
22,9,-0.0470779,4.48E-06,1.4866,2.69236
0,10,0.00869835,3.22E-06,1.28256,2.28761
1,10,-0.0142721,2.30E-05,1.3308,2.39287
2,10,-0.0217471,7.54E-05,1.43681,2.60858
3,10,-0.0153228,0.000132741,1.52426,2.79918
4,10,-0.0376939,0.000168779,1.57145,2.91486
5,10,-0.0551516,0.000175487,1.62365,3.03533
6,10,-0.0494337,0.000154873,1.6155,3.01089
7,10,-0.0435517,0.000133017,1.55097,2.86387
8,10,-0.0410511,8.39E-05,1.50541,2.76893
9,10,-0.0200469,2.72E-05,1.45225,2.65471
10,10,0.00102208,6.86E-06,1.40246,2.5392
11,10,0.0124004,3.46E-05,1.32268,2.36779
12,10,0.0111703,9.71E-05,1.23026,2.17678
13,10,0.0172671,0.000174528,1.19177,2.10264
14,10,0.00640731,0.000265108,1.19623,2.10132
15,10,0.0249258,0.000307613,1.21447,2.12617
16,10,0.031374,0.000328004,1.23177,2.15252
17,10,0.0190749,0.000309761,1.20718,2.11401
18,10,0.0209173,0.00023398,1.21028,2.12803
19,10,0.0111832,0.000179656,1.19966,2.09986
20,10,0.00786838,9.83E-05,1.23103,2.15776
21,10,0.0118467,4.30E-05,1.25775,2.22004
22,10,0.0138,1.15E-05,1.30711,2.31496
0,11,-0.0122025,3.69E-06,1.25759,2.21914
1,11,0.0115245,1.87E-05,1.29192,2.29563
2,11,0.0162075,6.88E-05,1.38037,2.48223
3,11,0.0122094,0.000120467,1.47629,2.70286
4,11,0.00752504,0.000159459,1.54956,2.87967
5,11,0.00766255,0.000168555,1.62615,3.06314
6,11,0.00357165,0.000155552,1.64451,3.10098
7,11,-0.00832178,0.000133827,1.64154,3.08249
8,11,-0.00581575,9.40E-05,1.61528,3.02831
9,11,-0.00756759,4.18E-05,1.57326,2.94467
10,11,-0.00834885,1.00E-05,1.5152,2.82239
11,11,0.0122794,1.73E-05,1.43814,2.64329
12,11,0.00953762,7.03E-05,1.33581,2.41635
13,11,0.00833287,0.000141892,1.2926,2.32005
14,11,0.0150429,0.000227312,1.25362,2.23295
15,11,0.0270293,0.000296384,1.23764,2.19685
16,11,0.0167577,0.000356985,1.24946,2.21281
17,11,0.00840079,0.000393385,1.22335,2.14844
18,11,0.00638221,0.000326225,1.2288,2.14711
19,11,0.00407228,0.000254908,1.19059,2.06714
20,11,0.00312204,0.000151571,1.2035,2.0905
21,11,0.00537116,7.08E-05,1.21554,2.12405
22,11,-0.00216787,2.32E-05,1.25807,2.20993
0,12,0.0022616,9.70E-06,1.23872,2.177
1,12,0.00130517,9.41E-06,1.28274,2.27539
2,12,-0.00407888,3.80E-05,1.38251,2.49222
3,12,-0.00802315,8.03E-05,1.49631,2.74413
4,12,-0.0215527,0.000119082,1.58835,2.96739
5,12,-0.0136153,0.000140653,1.68553,3.20406
6,12,-0.0190496,0.000137166,1.70274,3.25181
7,12,0.00848657,0.000131758,1.72427,3.2802
8,12,0.0120646,0.000100539,1.72054,3.27628
9,12,0.0190147,4.96E-05,1.65946,3.1573
10,12,0.034091,1.35E-05,1.62515,3.07692
11,12,0.0237321,6.63E-06,1.56402,2.93055
12,12,0.0451414,4.32E-05,1.44688,2.66761
13,12,0.05018,9.70E-05,1.37122,2.49796
14,12,0.0664066,0.000172717,1.31459,2.38429
15,12,0.0314067,0.000264172,1.29588,2.33987
16,12,0.0580323,0.000343035,1.28042,2.29109
17,12,0.0375144,0.000374117,1.23501,2.18817
18,12,0.0241635,0.000377503,1.23318,2.16505
19,12,0.0228162,0.00029877,1.19591,2.08207
20,12,0.0136966,0.000202292,1.20804,2.09612
21,12,0.00296053,0.000109254,1.22607,2.134
22,12,-0.00553732,4.04E-05,1.2397,2.17004
0,13,0.0461145,2.07E-05,1.22733,2.15227
1,13,0.0217951,4.16E-06,1.28934,2.28134
2,13,0.00351022,1.74E-05,1.38148,2.48501
3,13,-0.00333527,4.67E-05,1.50916,2.76501
4,13,-0.0121101,8.13E-05,1.60622,3.0014
5,13,-0.0108765,0.000100375,1.71697,3.25466
6,13,-0.011186,0.000117043,1.7714,3.38975
7,13,0.0312753,0.000258225,1.44516,2.63573
8,13,-0.0385607,8.41E-05,1.8749,3.62254
9,13,-0.0330664,5.01E-05,1.80933,3.49448
10,13,-0.03548,2.00E-05,1.82196,3.50374
11,13,-0.0122662,3.82E-06,1.75935,3.35893
12,13,-0.014854,1.94E-05,1.67692,3.16231
13,13,-0.00132522,5.59E-05,1.59468,2.96469
14,13,-0.00447222,0.00010512,1.53489,2.84296
15,13,0.0122202,0.000178231,1.49355,2.74885
16,13,0.0260331,0.000243423,1.46412,2.67367
17,13,0.0381049,0.000294269,1.34597,2.42861
18,13,0.0471383,0.000310298,1.31539,2.34548
19,13,0.0398306,0.000289512,1.27948,2.25471
20,13,0.0359459,0.000212256,1.26643,2.21362
21,13,0.0276117,0.000132745,1.24968,2.18111
22,13,0.0343889,6.13E-05,1.23144,2.15124
0,14,0.0109598,2.51E-05,1.34609,2.39573
1,14,0.0136396,6.05E-06,1.38999,2.485
2,14,0.0196814,5.86E-06,1.44543,2.61151
3,14,0.00606284,2.20E-05,1.54074,2.8286
4,14,-0.00439471,4.87E-05,1.62314,3.02714
5,14,-0.0151765,7.27E-05,1.71224,3.23716
6,14,-0.021118,0.000100185,1.75568,3.35148
7,14,-0.00964767,0.000110048,1.79122,3.44446
8,14,-0.00867168,8.74E-05,1.80891,3.49894
9,14,-0.0089371,5.93E-05,1.80618,3.50002
10,14,0.0116444,2.95E-05,1.8395,3.56372
11,14,0.00166843,6.80E-06,1.82654,3.52302
12,14,-0.0120119,6.07E-06,1.79052,3.42925
13,14,-0.00965027,2.71E-05,1.75078,3.31955
14,14,0.0105116,6.10E-05,1.70891,3.23112
15,14,-0.0154381,0.000107482,1.72607,3.24455
16,14,-0.0127293,0.000140889,1.71427,3.18789
17,14,0.0149519,0.000165989,1.61804,2.97468
18,14,0.0051886,0.000177357,1.53921,2.80864
19,14,0.0121163,0.000196986,1.46843,2.6501
20,14,0.014877,0.000160513,1.44061,2.5704
21,14,0.0274728,0.000119381,1.37445,2.43737
22,14,0.0451253,6.48E-05,1.32881,2.35414
0,15,0.00916541,2.64E-05,1.47137,2.65112
1,15,0.0108086,1.14E-05,1.49478,2.6953
2,15,-0.00634796,3.12E-06,1.55577,2.83729
3,15,-0.00594387,7.51E-06,1.61988,2.99675
4,15,0.00272902,2.48E-05,1.68126,3.14568
5,15,0.0067152,5.18E-05,1.72735,3.26159
