y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
33,8,-0.219541,0.000595911,1.92946,4.13127
33,9,-0.0478827,0.000498293,1.60982,3.48423
33,10,-0.626367,0.000193907,2.42686,5.52989
33,11,-0.420454,0.000207417,2.21071,5.03468
33,12,-0.366648,0.000397765,1.98917,4.48636
33,13,-0.253019,0.00119836,2.18487,4.87536
33,14,0.0109343,0.00152834,2.12617,4.79599
33,15,-0.0210583,0.00121392,2.10007,4.85113
33,16,-0.170799,0.000890508,2.21133,5.30373
33,17,0.477778,0.00463629,0.890206,2.02844
33,18,0.108596,0.0169067,0.519512,1.12879
33,19,1.21126,0.0144876,0.58666,1.08906
33,20,-0.109981,0.00697951,0.572062,0.64784
33,21,-0.731425,0.00281568,0.643026,0.680702
33,22,-0.742862,0.0022117,0.634638,0.70104
34,0,1.67874,0.00423026,0.340818,0.268938
34,1,-3.11594,0.0020838,0.390744,0.418293
34,2,-0.155103,0.00231395,0.663249,1.139
34,3,-0.901947,0.00126808,0.939755,2.08216
34,4,-0.0981844,0.00104437,1.06287,2.50661
34,5,-0.650721,0.00257946,1.10433,2.43914
34,6,1.33018,0.021231,0.409513,0.699591
34,7,-0.0461356,0.00393285,0.894025,1.76076
34,8,0.0938847,0.00838529,0.693936,1.33463
34,9,0.111975,0.00671794,0.679099,1.23317
34,10,0.767772,0.0097958,0.723381,1.32375
34,11,-0.0859748,0.00827652,1.2974,2.65286
34,12,-0.399675,0.000458519,2.1328,4.72006
34,13,0.371882,0.000674071,2.59761,5.8664
34,14,0.741241,0.0012319,2.33848,5.35667
34,15,0.0400532,0.00136684,2.18949,5.08103
34,16,0.230114,0.0021982,1.95101,4.5412
34,17,0.0101817,0.0107217,0.647842,1.39024
34,18,-0.00473242,0.0114548,0.818645,2.09008
34,19,-0.561696,0.00372763,0.879191,1.76252
34,20,-0.864098,0.00286961,0.682964,0.864757
34,21,-0.203907,0.00333156,0.580631,0.551355
34,22,-0.0134396,0.00308042,0.520439,0.490776
35,0,4.03715,0.00211891,0.259366,0.173812
35,1,1.31455,0.0025397,0.357334,0.375469
35,2,0.192719,0.0085456,0.326217,0.494462
35,3,0.826084,0.00322548,0.460685,0.975415
35,4,-0.948192,0.000695914,1.10495,2.61876
35,5,0.610063,0.00213128,1.3212,2.97371
35,6,1.88275,0.0355689,0.205552,0.423484
35,7,-0.165763,0.0106528,0.44215,0.948084
35,8,-0.981945,0.00387367,0.933627,1.96382
35,9,1.2324,0.00850417,0.555867,1.12272
35,10,-0.139826,0.00329889,0.614845,1.13952
35,11,0.741112,0.00391277,0.450664,0.699707
35,12,1.19634,0.0018666,1.23956,2.56895
35,13,-0.693364,0.000315686,2.91106,6.3358
35,14,-2.19057,0.000766253,2.42506,5.25543
35,15,-0.866243,0.00199941,1.95039,4.39073
35,16,0.0567586,0.00214103,1.60142,3.64858
35,17,0.524783,0.0102751,0.694038,1.44369
35,18,0.349522,0.00514286,1.53594,3.76277
35,19,0.542346,0.002384,0.981961,2.01804
35,20,3.57639,0.00171352,0.381951,0.530412
35,21,0.192076,0.00405104,0.425252,0.362526
35,22,1.04947,0.00241036,0.59378,0.510883
36,0,-0.179627,0.00359441,0.204952,0.121399
36,1,-0.832977,0.00264923,0.389718,0.410844
36,2,0.95889,0.00594571,0.405706,0.685408
36,3,-0.0170292,0.00313848,0.461994,0.964671
36,4,-0.204702,0.000614691,1.2051,2.79733
36,5,0.0970946,0.00115147,1.93704,4.45924
36,6,0.697993,0.00816447,0.608244,1.32192
36,7,0.806027,0.00427294,0.585842,1.308
36,8,-0.109861,0.00480325,0.831449,1.88782
36,9,0.104849,0.0058469,0.686851,1.38261
36,10,0.365013,0.00285142,0.464411,0.565069
36,11,-0.78372,0.000645159,0.808453,1.53831
36,12,0.40988,0.000798232,1.1803,2.44447
36,13,-0.249267,0.000920675,1.2967,2.52955
36,14,0.269459,0.00596799,0.620459,0.986834
36,15,0.704012,0.00402592,1.25809,2.72324
36,16,0.114376,0.00190217,1.70956,3.90116
36,17,-0.0475504,0.00371251,1.12496,2.47009
36,18,-0.528449,0.00183619,1.86055,4.50197
36,19,-0.0890766,0.00189399,1.07527,2.17807
36,20,-2.5534,0.00297485,0.363099,0.503159
36,21,-0.83309,0.00840648,0.265931,0.221736
36,22,0.605242,0.0080021,0.343348,0.246609
37,0,-0.692618,0.00459256,0.244458,0.129595
37,1,0.0828519,0.00363323,0.339722,0.327283
37,2,-0.109898,0.00496064,0.42453,0.757037
37,3,-0.361285,0.00383778,0.440662,0.909207
37,4,0.0459562,0.00367161,0.555412,1.10216
37,5,0.352577,0.00126199,1.69051,3.6809
37,6,-0.732442,0.00127515,1.34777,3.07841
37,7,-0.0482918,0.00163465,1.17013,2.62093
37,8,-0.666133,0.00206176,1.56866,3.59623
37,9,-0.170643,0.00510943,0.826287,1.76286
37,10,-0.452732,0.00442617,0.623991,1.11945
37,11,-0.873589,0.00251645,0.6654,1.30236
37,12,0.0522336,0.00375882,0.851666,1.70349
37,13,0.23069,0.00210804,0.975169,1.88321
37,14,0.756611,0.0021935,0.919058,1.80833
37,15,-0.0192661,0.00174808,1.69228,3.7814
37,16,-0.333664,0.00150978,1.5476,3.52993
37,17,0.0155959,0.00169152,1.79192,4.21268
37,18,-0.156966,0.00165588,1.71997,4.07142
37,19,-0.0360674,0.0012876,1.17198,2.32823
37,20,0.616796,0.0155408,0.325011,0.437665
37,21,1.2627,0.0246824,0.30545,0.295673
37,22,0.0578045,0.0109212,0.267829,0.169877
38,0,1.27212,0.00909381,0.158976,0.068491
38,1,-0.533363,0.00302341,0.295952,0.289085
38,2,0.428002,0.00382483,0.52375,0.899913
38,3,-0.197601,0.00414699,0.473509,0.948026
38,4,0.0206046,0.00356766,0.519118,1.06461
38,5,-0.271789,0.00319124,0.860205,1.71248
38,6,0.0432559,0.00173258,1.47306,3.37141
38,7,0.164493,0.00144284,1.08695,2.44241
38,8,-0.0180991,0.000959137,1.70845,4.0089
38,9,-0.443087,0.000869563,1.50042,3.46612
38,10,0.613726,0.00464588,1.15,2.31629
38,11,0.666407,0.00394676,0.887361,1.96077
38,12,0.243447,0.00230499,1.09547,2.46374
38,13,-0.67132,0.000598922,1.67119,3.50988
38,14,-0.49655,0.000825586,1.60891,3.47044
38,15,-0.216172,0.00179146,1.69512,3.78423
38,16,-0.00118659,0.00132284,1.09178,2.47417
38,17,0.0168334,0.00158659,1.5243,3.75484
38,18,-0.0700315,0.00108633,1.41145,3.1251
38,19,0.342902,0.00242684,0.656234,1.16089
38,20,-1.07263,0.0152521,0.230222,0.225528
38,21,-0.19093,0.0196282,0.251265,0.247922
38,22,0.14518,0.0137244,0.213746,0.138495
39,0,0.135066,0.01826,0.173746,0.127739
39,1,0.0840811,0.00156056,0.337401,0.329306
39,2,-0.0321043,0.00136717,0.586837,0.89561
39,3,-0.525227,0.00216523,0.711825,1.40622
39,4,-0.0521423,0.00259589,0.660006,1.34448
39,5,-0.0275439,0.00183129,0.94873,1.96425
39,6,-0.156373,0.00185951,1.26727,2.92048
39,7,0.00796601,0.00123023,1.22104,2.80902
39,8,0.087698,0.000382792,1.51177,3.46504
39,9,0.867314,0.000492972,2.63322,5.95201
39,10,-0.602047,0.000223037,2.50195,5.56817
39,11,-0.34933,0.000343343,2.25187,5.08141
39,12,-0.169255,0.000962039,1.65093,3.42797
39,13,-0.0331505,0.000375831,1.15235,2.40204
39,14,0.145377,0.000932607,1.43098,3.02603
39,15,0.0592594,0.00206014,1.76306,4.05206
39,16,0.322319,0.000692532,1.29273,3.11298
39,17,0.22952,0.00156813,1.49795,3.61862
39,18,-0.149851,0.00216228,0.955523,1.98793
39,19,-0.121992,0.00868015,0.335342,0.49946
39,20,0.192299,0.0813723,0.134181,0.173134
39,21,0.205623,0.0368766,0.210574,0.339946
39,22,-0.578294,0.0197468,0.184665,0.236782
40,0,-0.202397,0.00216307,0.32942,0.369591
40,1,-0.0859244,0.000738763,0.350938,0.385123
40,2,-0.220414,0.000716799,0.392079,0.527721
40,3,0.331825,0.00109861,0.599579,1.14113
40,4,-0.506712,0.00234166,0.762796,1.51307
40,5,-1.36989,0.00105472,1.01977,2.11186
40,6,-0.290764,0.00267865,1.08336,2.5342
40,7,-0.12969,0.00237503,0.881556,2.129
40,8,1.7729,0.00503085,0.715351,1.36899
40,9,-0.914096,0.000465181,2.06086,4.31382
40,10,1.41031,0.000160337,2.73816,5.93835
40,11,-1.83372,0.000482934,1.36121,2.71634
40,12,0.559481,0.000547216,1.61523,3.41954
