y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
9,4,-0.0300086,0.000243786,1.67659,3.41135
9,5,-0.0155483,0.00104209,1.47985,2.92372
9,6,-0.0247927,0.00263496,1.23497,2.38058
9,7,-0.0111471,0.00499034,0.910666,1.68454
9,8,-0.0383685,0.00942186,0.659006,1.13096
9,9,-0.0291949,0.0180724,0.473629,0.745337
9,10,0.00137879,0.0365835,0.342867,0.521793
9,11,0.0359007,0.0585008,0.280465,0.445406
9,12,0.0294606,0.0607706,0.280234,0.441286
9,13,0.0291344,0.0470242,0.311237,0.464108
9,14,0.0433164,0.0314785,0.370974,0.551032
9,15,0.0229841,0.0204106,0.446976,0.665256
9,16,-6.52e-05,0.0133208,0.523492,0.776038
9,17,0.00191636,0.00743642,0.59384,0.883964
9,18,0.0234638,0.00481029,0.623824,0.941176
9,19,0.0902725,0.00312368,0.596913,0.881303
9,20,0.0225605,0.00177748,0.523097,0.749846
9,21,0.393052,0.000705369,0.363147,0.45429
9,22,0.347981,0.0020244,0.318769,0.389638
10,0,0.0950544,0.00215984,0.70637,1.22845
10,1,0.0680384,0.00115376,1.05968,2.08951
10,2,-0.0578951,0.00054557,1.54613,3.23058
10,3,-0.0973599,0.000213149,1.8335,3.8519
10,4,-0.0860861,0.000175085,1.92516,4.0128
10,5,-0.0864488,0.000473873,1.69834,3.43527
10,6,-0.0524303,0.00132377,1.34426,2.60737
10,7,-0.0514429,0.00302411,0.960106,1.76426
10,8,0.00743068,0.0080571,0.648298,1.11091
10,9,0.0510197,0.0210171,0.426534,0.669415
10,10,0.0969432,0.0441505,0.318661,0.499919
10,11,0.101083,0.0624344,0.281224,0.465445
10,12,0.105547,0.0595159,0.302196,0.497632
10,13,0.0876846,0.0429692,0.353648,0.526537
10,14,0.0389869,0.0232666,0.463198,0.671111
10,15,0.0176453,0.0127769,0.582629,0.863767
10,16,-0.00162015,0.00763316,0.695629,1.05495
10,17,0.00291822,0.00451662,0.772275,1.18303
10,18,-0.000600948,0.00256316,0.833217,1.3076
10,19,-0.00527998,0.00149506,0.865582,1.3681
10,20,0.00735581,0.000707469,0.78214,1.21331
10,21,0.109416,0.000175062,0.598314,0.885691
10,22,0.0904449,0.000950381,0.552939,0.821362
11,0,-0.296952,0.000459771,1.00252,1.83025
11,1,-0.25224,0.000476334,1.19594,2.37016
11,2,-0.0331106,0.000472637,1.36727,2.81674
