y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
34,10,0.254508,0.00199939,0.981843,2.04319
34,11,-0.0964008,0.000238583,1.63918,3.72894
34,12,-0.387818,7.74e-05,2.35264,5.55655
34,13,-0.0689424,0.00026479,2.92746,7.10187
34,14,-0.0303923,0.000785398,2.94481,7.1159
34,15,-0.0809848,0.00113454,2.57235,6.25695
34,16,-0.0480644,0.00111995,2.56054,6.23745
34,17,0.0277687,0.00210072,1.68497,4.00921
34,18,0.268156,0.0100722,0.805222,1.95307
34,19,0.473804,0.00852007,1.06763,3.09677
34,20,-0.297305,0.00476062,1.03613,2.52405
34,21,-0.495273,0.00377463,0.646467,0.932929
34,22,-0.213322,0.00384591,0.596595,0.601425
35,0,0.578208,0.00559291,0.466436,0.440286
35,1,0.434493,0.00251653,0.3493,0.335902
35,2,-0.0860394,0.0020134,0.419708,0.492025
35,3,0.0526809,0.00281617,0.494565,0.781032
35,4,0.127596,0.00139241,0.727684,1.49269
35,5,-0.091574,0.000752447,1.42419,3.12408
35,6,0.457476,0.00462716,1.12571,2.3338
35,7,1.08754,0.0147516,0.397708,0.764722
35,8,-0.121977,0.00426268,0.808859,1.63386
35,9,0.369211,0.00628142,0.739393,1.60316
35,10,0.193928,0.00348136,0.688366,1.43499
35,11,0.108876,0.000630531,0.759184,1.48836
35,12,0.637056,0.00051623,1.29473,2.77265
35,13,0.0741521,0.000264497,2.28419,5.08507
35,14,-0.141419,0.000745802,2.19694,4.84837
35,15,-0.303076,0.00159052,1.99262,4.63407
35,16,-0.0609168,0.00169495,2.1437,5.06199
35,17,0.0617215,0.00289068,1.31577,2.94807
35,18,0.199968,0.00526108,0.995668,2.44458
35,19,-0.0956998,0.00329369,1.74792,5.15149
35,20,-0.15398,0.00209115,1.32157,3.46942
35,21,-0.78697,0.0016348,0.642851,1.11438
35,22,-0.039194,0.00568648,0.430413,0.364542
36,0,-0.10561,0.0119548,0.338123,0.237631
36,1,-0.0257184,0.0048751,0.290105,0.25608
36,2,-0.0225712,0.00307957,0.37977,0.444461
36,3,0.207447,0.00431011,0.450151,0.724215
36,4,0.142279,0.00265284,0.570703,1.13258
36,5,0.106155,0.000824514,1.35597,2.85043
36,6,-0.0718834,0.00118149,1.74223,3.63587
36,7,0.330429,0.00376274,0.877763,1.72502
36,8,-0.0572086,0.00367251,1.12258,2.39466
36,9,0.232347,0.00486707,0.905019,2.07351
36,10,0.0733756,0.00203632,0.786416,1.72009
36,11,-0.0505588,0.000686876,0.917589,1.95148
36,12,-0.175115,0.000694937,1.33821,2.9091
36,13,-0.0752186,0.000859299,1.2666,2.5279
36,14,0.475622,0.00144472,0.960749,1.7492
36,15,0.0633941,0.00223563,1.40041,3.01835
36,16,-0.0140481,0.00208785,1.95918,4.53853
36,17,-0.111259,0.00193731,1.55697,3.73288
36,18,-0.232764,0.00191163,1.72097,4.70122
36,19,-0.134963,0.00142653,1.98868,5.91612
36,20,-0.145186,0.00136747,1.34623,3.60816
36,21,0.711599,0.00155657,0.514774,0.992594
36,22,0.904265,0.00705051,0.292363,0.243628
37,0,0.124743,0.0128191,0.289389,0.162015
37,1,-0.409103,0.00787792,0.254998,0.192832
37,2,-0.116424,0.00255721,0.396834,0.47502
37,3,0.00922413,0.00392426,0.517913,0.874059
37,4,-0.0028892,0.00381991,0.512716,0.997154
37,5,0.167757,0.00219067,0.800685,1.54942
