x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
7,44,0.00302836,0.00593837,2.1158,4.79593
11,43,0.29721,0.00191028,2.48782,4.78475
0,59,0.848486,0.000127348,2.15853,4.78136
8,91,-0.74678,0.000806179,2.10388,4.75547
16,100,0.326351,0.000349976,2.21976,4.74681
1,61,0.278162,0.000290055,2.11184,4.74082
5,75,0.115857,0.000359671,2.26934,4.73807
5,74,-0.207181,0.000547467,2.26833,4.73166
18,43,-0.283548,0.00160546,2.19723,4.72705
21,0,5.49301,7.98E-06,2.53328,4.70905
10,39,0.0245792,0.00557494,2.48193,4.69851
14,102,-0.207057,0.000456398,2.15466,4.69665
20,50,-0.340028,0.00121695,1.96557,4.65937
22,63,-0.00294778,9.23E-05,2.23828,4.65448
18,19,-0.231859,5.98E-05,2.51693,4.65281
22,68,-0.0588029,0.000113953,2.14706,4.64991
18,46,-0.0260413,0.000985983,2.06477,4.64389
8,56,0.114979,0.00169513,1.97651,4.64141
2,64,-0.195375,0.000218745,2.11325,4.62675
6,48,-0.680428,0.00115211,2.03395,4.62556
20,19,-0.206757,0.00010617,2.50971,4.62252
2,67,-0.0493193,0.000183717,2.0732,4.61396
4,79,-0.115684,0.000279593,2.14131,4.60798
10,40,-0.0674417,0.00461843,2.48675,4.59902
21,97,-1.07922,0.00301188,2.08341,4.58464
7,51,0.724352,0.000896102,1.94314,4.583
21,40,-0.310064,0.00314265,1.8715,4.58074
9,55,-0.300723,0.00187225,1.96087,4.57896
12,39,-0.255836,0.000904789,2.5266,4.57188
10,95,-0.232643,0.000551574,1.95045,4.5704
13,42,0.121058,0.00189091,2.53483,4.56071
4,48,-0.41538,0.00107861,2.17156,4.56056
14,101,0.222065,0.000398007,2.10328,4.55958
20,51,-0.139703,0.000557785,1.97289,4.55515
2,71,-0.26836,0.000160653,2.10886,4.54122
6,65,0.254993,0.000345629,2.03913,4.53881
8,22,0.267522,3.60E-05,2.45386,4.53448
9,40,0.059172,0.00209937,2.21959,4.53292
19,56,0.175493,0.000956144,1.92708,4.50433
1,64,0.506771,0.000200052,2.08274,4.50372
21,52,0.0662431,0.000585174,2.0247,4.49716
4,52,0.224207,0.00114805,2.00119,4.4778
15,101,-0.0219972,0.000552213,2.14197,4.47151
13,73,0.100725,0.00340728,2.38122,4.46322
14,96,-0.00908725,0.000996248,2.14532,4.46139
16,96,0.191459,0.000679541,2.13221,4.45976
16,102,-0.0771218,0.000307284,2.10456,4.45337
0,42,0.0286874,0.00158565,2.14782,4.44844
