x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
3,50,-0.32739,0.000306072,2.63883,5.74114
10,47,-0.631058,0.00388469,2.59296,5.68656
2,63,0.536318,0.000182043,2.55304,5.66415
11,0,6.76116,1.05E-05,2.94153,5.57486
2,60,-0.602047,0.000223037,2.50195,5.56817
16,97,-0.564064,0.000841307,2.66905,5.54924
6,42,0.73909,0.015992,2.04457,5.54873
2,66,-0.458046,0.000137156,2.61771,5.54652
2,54,-0.626367,0.000193907,2.42686,5.52989
14,97,-0.16675,0.000253845,2.59276,5.52719
9,48,0.165758,0.00452721,2.43703,5.52516
9,51,-0.101158,0.00100577,2.42148,5.51849
11,98,-0.953506,0.000615495,2.37993,5.50418
3,66,-0.420162,0.000136013,2.5835,5.45764
20,42,-0.283804,0.00335401,2.34578,5.42881
17,103,-0.0142776,0.000510622,2.53,5.41066
18,97,-0.108041,0.000649341,2.50366,5.40831
10,48,-0.484755,0.00329535,2.46299,5.40032
16,0,8.6878,6.91E-06,2.86375,5.39783
14,101,-0.0180365,0.00042336,2.42389,5.39083
20,47,-0.455033,0.000466717,2.40389,5.36047
6,55,0.741241,0.0012319,2.33848,5.35667
3,73,0.93403,0.000170919,2.54892,5.34777
11,85,0.945116,0.000348273,2.57135,5.32054
8,50,-0.460702,0.00153737,2.27186,5.3164
14,102,-0.0741004,0.000186502,2.35716,5.30873
10,49,-0.457072,0.00184394,2.49179,5.30759
8,54,-0.170799,0.000890508,2.21133,5.30373
5,49,-0.0156364,0.000837744,2.44539,5.28059
1,63,0.404547,0.000209573,2.34773,5.2727
21,63,-0.802915,0.000387631,2.14556,5.26688
6,56,-2.19057,0.000766253,2.42506,5.25543
3,63,1.23533,0.000352014,2.32381,5.24049
11,46,-0.0185205,0.0017917,2.44427,5.21212
4,44,-0.145439,0.0113121,2.09626,5.21129
19,43,1.00379,0.00301509,2.27384,5.20008
0,47,0.428215,0.000378361,2.35955,5.19923
20,46,-0.492173,0.00160531,2.26944,5.19802
13,101,-0.270833,0.000279507,2.18199,5.19418
18,29,-0.024535,0.00014021,2.62534,5.19319
13,40,2.00025,0.00121189,3.17802,5.18579
20,52,-0.439109,0.00088296,2.12465,5.17285
12,93,0.325082,0.00111629,2.37805,5.14144
5,45,-0.888486,0.00822257,2.20512,5.12869
12,40,-0.363419,0.00179707,2.76384,5.11894
4,64,-2.15459,0.000152804,2.2674,5.10643
18,0,6.97938,1.22E-05,2.73313,5.10306
3,60,-0.34933,0.000343343,2.25187,5.08141
7,55,0.0400532,0.00136684,2.18949,5.08103
7,43,-0.481157,0.012526,2.05741,5.07915
22,64,-0.233089,0.000319467,2.24555,5.07695
6,43,-0.00821435,0.014464,1.82789,5.07099
8,51,-0.466822,0.000697011,2.11533,5.06372
8,23,0.28466,4.81E-05,2.64172,5.03623
3,54,-0.420454,0.000207417,2.21071,5.03468
8,67,0.888285,0.000434032,2.24443,5.01086
11,93,-4.26586,0.000565131,2.20959,5.00229
19,44,-0.72878,0.00372613,2.2098,4.99446
20,68,-0.632871,0.000173405,2.36082,4.99113
19,0,10.6316,1.42E-05,2.69205,4.99107
8,45,-0.133444,0.00813149,2.20988,4.98128
17,101,0.137456,0.000840965,2.29006,4.97294
9,78,-0.159078,0.000303362,2.34717,4.97147
16,104,-0.0168835,0.000531704,2.33977,4.96263
17,0,8.23636,9.65E-06,2.64852,4.96255
8,77,-0.0364224,0.00045951,2.40927,4.96229
19,29,-0.535404,0.000123779,2.56737,4.96229
21,98,0.0410963,0.00414223,2.17635,4.96025
18,103,-0.0280855,0.000389951,2.3263,4.94993
22,49,0.136745,0.000995692,2.4981,4.91123
6,80,-0.604524,0.000366484,2.27719,4.9104
8,44,-0.422316,0.00493406,2.2312,4.90708
7,76,0.0377186,0.000732982,2.34493,4.90414
12,101,-0.732493,0.00081369,2.05384,4.89222
9,22,-0.465145,4.49E-06,2.49771,4.8907
20,67,1.01178,7.19E-05,2.15592,4.88489
5,54,-0.253019,0.00119836,2.18487,4.87536
18,102,-0.068017,0.000528502,2.24559,4.8689
22,66,-0.438419,0.000311245,2.12155,4.86375
3,64,-0.768821,0.000284957,2.3222,4.86052
8,46,-0.0943824,0.0056012,2.1051,4.85918
10,31,-0.051494,0.000298442,2.71952,4.85346
7,54,-0.0210583,0.00121392,2.10007,4.85113
15,97,-0.615816,0.000297054,2.32492,4.82895
