x,y,CB_Gauss_Curvature,CB_WSS [pa],TB_Gauss_Curvature,TB_WSS [pa],LP_Gauss_Curvature,LP_WSS [pa],OR_Gauss_Curvature,OR_WSS [pa]
5,23,-0.00113096,4.89338,-0.185551,5.53986,0.0293054,4.00654,0.403824,3.91851
4,23,-0.017031,4.69152,-0.119196,4.58272,-0.0611573,3.27761,-0.452508,3.18208
3,23,-0.047214,4.53286,-0.0471677,2.95843,-0.20103,3.92756,2.36702,2.56724
20,24,-0.0616583,3.05892,1.33588,2.80092,0.130966,2.32386,0.0403755,2.08524
19,24,0.0148528,3.71775,0.212093,3.20138,0.257531,3.59997,-0.229116,4.29901
18,24,0.0716129,4.32499,-0.982847,4.77208,-0.283548,4.72705,-0.385386,3.48534
17,24,0.0501674,4.67591,0.386834,3.89784,-0.510765,5.04838,0.231485,4.68716
16,24,0.0828655,5.03847,-0.221604,5.75555,-0.201334,5.07346,-0.0193342,4.13066
15,24,0.0701268,4.70185,-0.0214164,4.88705,0.144558,3.74178,1.32342,2.94607
14,24,0.0658678,3.97387,0.070828,3.9351,-0.0417625,2.73364,-0.0466061,3.33692
13,24,0.0653419,3.43751,0.0318295,3.63805,0.0817626,2.15918,0.00724981,2.71579
12,24,0.0629828,3.15762,-0.0572173,2.74508,0.494637,1.79759,-0.15977,2.60039
11,24,0.0353472,3.42345,0.0142416,2.04292,-0.509164,2.8677,-0.0662982,3.51101
10,24,-0.0130749,4.26239,0.0675272,1.8288,-0.337888,4.10705,0.212372,3.05206
9,24,-0.0154557,5.33275,0.719782,2.41506,-0.365311,5.09886,-0.888486,5.12869
8,24,-0.0200204,6.37776,-0.178938,6.09708,-0.209019,5.54163,-1.05483,9.11174
7,24,-0.0417571,7.01387,-0.5809,9.50547,0.0827054,7.16765,1.20111,4.23326
6,24,-0.0707876,6.34142,0.300241,7.44169,-0.237553,5.13749,-0.133444,4.98128
5,24,-0.107059,5.6776,0.380801,5.14352,-0.0329474,3.98779,-0.292153,3.60591
4,24,-0.118432,5.32287,-0.136557,4.28196,0.114857,3.04459,-1.32211,2.61867
3,24,-0.115052,4.75179,-0.118638,3.17618,0.238621,4.13938,-1.66599,3.69357
20,25,-0.138073,3.04542,-0.764111,3.53964,0.812658,3.34691,0.0819816,4.08145
19,25,-0.0852973,3.97466,0.203244,5.05605,-0.848066,4.1665,-0.879919,4.11334
18,25,-0.0234309,4.87368,-0.673086,4.69862,0.228316,4.00204,2.03984,3.36701
17,25,0.0989145,5.37203,1.54509,4.10833,1.40776,3.59295,-0.492173,5.19802
16,25,0.0800409,5.59244,-0.0545171,6.46684,-0.0200172,6.4215,-0.246282,5.90002
15,25,0.0704791,5.24692,-0.038532,6.1994,-0.292361,4.9654,0.286072,3.92416
14,25,0.0841866,4.50169,0.124944,4.63877,0.148291,3.70814,-0.0171683,4.67521
13,25,0.0984663,4.01167,-0.0127284,4.95382,0.00719291,3.59939,0.0215169,4.49596
12,25,0.103602,3.93934,0.0303163,4.15687,-0.017351,2.6731,0.831004,2.2086
11,25,0.0742412,4.30117,0.490827,2.38672,0.449051,1.59666,0.4034,1.54071
10,25,0.0855085,4.96981,1.24921,1.87334,1.20181,1.69146,1.03008,2.8943
9,25,0.0601794,5.81351,0.662384,4.55612,0.143432,4.86853,-0.0349899,7.5733
8,25,0.0154189,6.85356,-0.372336,8.98968,-0.0110913,8.6397,-0.567746,8.72685
7,25,-0.0250862,7.21165,-0.521198,9.55841,0.0244017,6.35041,0.265279,6.47817
6,25,-0.0618906,6.47398,0.0677674,7.3909,0.00302836,4.79593,-0.0943824,4.85918
5,25,-0.134114,5.86833,0.047991,5.71284,-0.293145,3.57161,-0.0681732,2.74877
4,25,-0.140665,5.33219,0.186477,4.02398,0.707517,3.04352,0.687337,2.76487
3,25,-0.154663,4.58062,-0.17776,3.41392,-0.0499841,5.43014,-0.0185205,5.21212
20,26,-0.123442,2.79743,-1.19801,2.74759,-0.253889,4.01778,-2.24614,3.09804
19,26,-0.0237658,3.80684,-0.537403,3.64158,-0.0456986,3.8525,-0.132969,3.23755
18,26,-0.0113945,5.22372,-0.0965131,4.8657,0.0575998,5.8024,-0.912022,5.9917
