x,y,CB_Gauss_Curvature,CB_WSS [pa],TB_Gauss_Curvature,TB_WSS [pa],LP_Gauss_Curvature,LP_WSS [pa],OR_Gauss_Curvature,OR_WSS [pa]
3,35,-0.069006,2.79647,-0.0956998,5.15149,-0.931781,2.48249,0.542346,2.01804
20,36,-0.123289,0.843901,-0.0225712,0.444461,1.10676,0.623509,0.95889,0.685408
19,36,-0.0818436,1.39928,0.207447,0.724215,-0.088953,1.14194,-0.0170292,0.964671
18,36,-0.0497783,2.1394,0.142279,1.13258,-0.237988,3.17841,-0.204702,2.79733
17,36,0.00579303,2.81063,0.106155,2.85043,0.0540422,4.00065,0.0970946,4.45924
16,36,0.0607974,2.79025,-0.0718834,3.63587,0.216896,1.06355,0.697993,1.32192
15,36,0.0894112,2.51115,0.330429,1.72502,0.711117,1.37013,0.806027,1.308
14,36,0.0835561,2.5131,-0.0572086,2.39466,0.373858,1.83712,-0.109861,1.88782
13,36,0.0826865,2.65272,0.232347,2.07351,0.073306,1.59944,0.104849,1.38261
12,36,0.0548859,2.91183,0.0733756,1.72009,0.026281,1.66698,0.365013,0.565069
11,36,0.0479613,3.23499,-0.0505588,1.95148,0.0696472,1.93321,-0.78372,1.53831
10,36,0.0283626,3.63647,-0.175115,2.9091,-0.339179,3.13514,0.40988,2.44447
9,36,0.0428288,3.95813,-0.0752186,2.5279,-0.442339,2.86921,-0.249267,2.52955
8,36,0.0139009,4.29046,0.475622,1.7492,0.615492,2.0766,0.269459,0.986834
7,36,0.00141009,4.53191,0.0633941,3.01835,-0.214559,3.98473,0.704012,2.72324
6,36,0.00875351,4.56421,-0.0140481,4.53853,0.126205,3.54889,0.114376,3.90116
5,36,-0.0140465,4.70906,-0.111259,3.73288,-0.534536,2.62438,-0.0475504,2.47009
4,36,-0.0778326,4.29205,-0.232764,4.70122,-0.300723,4.57896,-0.528449,4.50197
3,36,-0.119267,2.77062,-0.134963,5.91612,-0.801878,2.24126,-0.0890766,2.17807
20,37,-0.0192479,0.738444,-0.116424,0.47502,-0.120058,0.780126,-0.109898,0.757037
19,37,-0.0395367,1.27301,0.00922413,0.874059,0.04705,1.02876,-0.361285,0.909207
18,37,-0.0112238,1.97033,-0.0028892,0.997154,0.103043,2.26054,0.0459562,1.10216
17,37,-0.0102788,2.89401,0.167757,1.54942,0.175493,4.50433,0.352577,3.6809
16,37,0.00990125,3.11031,-0.120428,3.49344,0.149624,2.70858,-0.732442,3.07841
15,37,0.0904116,2.88118,-0.391197,2.8903,-0.146751,2.77786,-0.0482918,2.62093
14,37,0.129099,2.74015,-0.0213837,3.60612,-0.0129093,2.76111,-0.666133,3.59623
13,37,0.0987681,2.79753,0.173538,3.16753,0.0778465,1.62746,-0.170643,1.76286
12,37,0.0766801,2.89514,0.013107,1.81876,-0.00579537,1.56927,-0.452732,1.11945
11,37,0.106267,3.00892,0.196672,1.64247,0.209691,1.90782,-0.873589,1.30236
10,37,0.103716,3.21223,0.418559,1.90725,0.151298,2.44794,0.0522336,1.70349
9,37,0.0504409,3.63218,-0.136673,2.25975,0.273642,1.98408,0.23069,1.88321
8,37,0.0522215,3.89627,0.119769,2.91022,0.142278,2.45855,0.756611,1.80833
7,37,0.0407115,4.19689,0.0172514,3.98386,0.000440338,4.36836,-0.0192661,3.7814
6,37,0.0112937,4.5139,-0.00941721,4.13593,-0.44175,3.47236,-0.333664,3.52993
5,37,-0.0272706,4.58412,-0.0503778,3.69666,0.114979,4.64141,0.0155959,4.21268
4,37,-0.0588316,3.86979,-0.098219,4.68133,-0.15112,3.87557,-0.156966,4.07142
3,37,-0.0796982,2.23659,-0.103528,4.94723,0.0213209,1.73331,-0.0360674,2.32823
